press	release	interval
1003	1019	0
751	795	179
783	779	223
756	827	219
816	799	290
797	785	273
821	795	261
793	816	235
845	795	258
837	849	208
838	838	220
863	930	220
869	827	287
820	794	245
815	798	219
810	854	202
808	824	246
844	819	262
878	831	237
741	744	190
952	941	193
857	885	182
871	929	210
0	0	268
